,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,acc_year,acc_month,acc_hr_day,new_date,day_name
218353,A-218355,MapQuest,241.0,2,2016-07-05 15:48:54,2016-07-05 16:46:00,40.718971,-73.974968,0.0,Left lane blocked due to accident on FDR Dr Northbound around Exit 5 Houston St.,592.0,E Houston St,L,New York,New York,NY,10002-1118,US,US/Eastern,KJRB,2016-07-05 15:55:00,89.6,,46.0,29.78,10.0,WSW,4.6,,Scattered Clouds,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,7,15,2016-07-05,Tuesday
218370,A-218372,MapQuest,245.0,2,2016-07-05 17:26:40,2016-07-05 18:25:00,40.834126,-73.949951,0.0,Two lanes blocked and queueing traffic due to accident on NY-9A Henry Hudson Pkwy Northbound at Exit 13 NY-9A Henry Hudson Pkwy.,,Marginal St,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-07-05 17:51:00,84.9,,51.0,29.77,10.0,WNW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,17,2016-07-05,Tuesday
218392,A-218394,MapQuest,241.0,2,2016-07-05 20:21:03,2016-07-05 21:20:00,40.785564,-73.984062,0.0,Right lane blocked and slow traffic due to accident on NY-9A Henry Hudson Pkwy Southbound at NY-9A Henry Hudson Pkwy.,,Henry Hudson Pkwy S,R,New York,New York,NY,10024,US,US/Eastern,KNYC,2016-07-05 19:51:00,82.9,,56.0,29.78,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,20,2016-07-05,Tuesday
218523,A-218525,MapQuest,222.0,2,2016-07-06 23:33:30,2016-07-07 00:33:30,40.765228,-73.951904,0.0,Queueing traffic and Center lane blocked due to accident on FDR Dr Southbound at Exit 13 71st St.,,FDR Dr N,R,New York,New York,NY,10021,US,US/Eastern,KNYC,2016-07-06 23:51:00,82.0,,69.0,29.83,9.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016,7,23,2016-07-06,Wednesday
218532,A-218534,MapQuest,201.0,2,2016-07-07 03:40:56,2016-07-07 04:10:00,40.80127,-73.929916,0.0,Left lane blocked due to accident on FDR Dr Northbound at Exits 17 18 19 Robert F Kennedy Bridge.,,Robert F Kennedy Bridge,R,New York,New York,NY,10035,US,US/Eastern,KNYC,2016-07-07 03:51:00,81.0,,67.0,29.78,8.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2016,7,3,2016-07-07,Thursday
218688,A-218690,MapQuest,241.0,2,2016-07-08 11:57:29,2016-07-08 12:27:29,40.759762,-73.960991,0.0,Right lane blocked due to accident on NY-25 Ed Koch Queensboro Brg Westbound between Crescent St and 60th St.,,Ed Koch Queensboro Brg W,R,New York,New York,NY,10022,US,US/Eastern,KNYC,2016-07-08 11:51:00,84.0,,65.0,29.81,7.0,Variable,5.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,11,2016-07-08,Friday
218696,A-218698,MapQuest,339.0,2,2016-07-08 13:43:54,2016-07-08 14:42:00,40.782818,-73.943871,0.0,Right lane blocked and slow traffic due to jackknifed trailer on FDR Dr Southbound near Exit 14 F D R Dr.,,E 96th St,R,New York,New York,NY,10128,US,US/Eastern,KNYC,2016-07-08 13:51:00,84.9,,61.0,29.8,7.0,ENE,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,7,13,2016-07-08,Friday
218708,A-218710,MapQuest,241.0,2,2016-07-08 15:32:21,2016-07-08 16:30:00,40.748028000000005,-73.96817,0.0,Right lane blocked and slow traffic due to accident on FDR Dr Northbound at Exits 8 9 42nd St.,,FDR Dr S,R,New York,New York,NY,10017,US,US/Eastern,KNYC,2016-07-08 15:35:00,82.0,,69.0,29.82,6.0,Variable,5.8,,Haze,False,False,False,False,True,False,False,False,False,True,False,False,False,Day,Day,Day,Day,2016,7,15,2016-07-08,Friday
218714,A-218716,MapQuest-Bing,241.0,2,2016-07-08 16:05:20,2016-07-08 17:03:00,40.804165000000005,-73.931038,0.0,Right lane blocked and slow traffic due to accident on Harlem River Dr Southbound at Exit 19 2nd Ave.,,Harlem River Dr N,R,New York,New York,NY,10035,US,US/Eastern,KNYC,2016-07-08 15:51:00,82.9,,65.0,29.78,6.0,Variable,6.9,,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,16,2016-07-08,Friday
218774,A-218776,MapQuest,241.0,3,2016-07-09 17:51:39,2016-07-09 18:36:39,40.851543,-73.95208000000001,0.0,Lane blocked due to accident on I-95 George Washington Brg Northbound at I-95 George Washington Brg.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-07-09 17:51:00,71.1,,81.0,29.81,7.0,Variable,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,17,2016-07-09,Saturday
218832,A-218834,MapQuest,201.0,2,2016-07-11 04:51:52,2016-07-11 05:21:52,40.707687,-74.000076,0.0,Accident on FDR Dr Southbound near Exit 2 Brooklyn Bridge.,,FDR Dr S,R,New York,New York,NY,10038,US,US/Eastern,KJRB,2016-07-11 04:55:00,69.8,,73.0,30.04,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day,2016,7,4,2016-07-11,Monday
218833,A-218835,MapQuest,241.0,3,2016-07-11 05:15:09,2016-07-11 05:45:09,40.850066999999996,-73.944817,0.0,Right lane blocked due to accident on I-95 Cross Bronx Expy Southbound between I-87 Major Deegan Expy and Exit 1 Henry Hudson Pkwy.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-07-11 04:51:00,66.0,,75.0,30.04,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2016,7,5,2016-07-11,Monday
218834,A-218836,MapQuest,241.0,2,2016-07-11 05:12:33,2016-07-11 05:42:33,40.81155,-73.934776,0.0,Left and Center lane blocked due to accident on Harlem River Dr Southbound near Exits 20 21 Madison Ave.,,Harlem River Dr S,R,New York,New York,NY,10037,US,US/Eastern,KNYC,2016-07-11 04:51:00,66.0,,75.0,30.04,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2016,7,5,2016-07-11,Monday
218865,A-218867,MapQuest,203.0,3,2016-07-11 08:17:47,2016-07-11 08:47:47,40.850066999999996,-73.944817,0.0,Multi-vehicle accident on I-95 George Washington Bridge Lower Level Southbound at Exit 1 Henry Hudson Pkwy.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-07-11 07:51:00,68.0,,76.0,30.07,10.0,Variable,4.6,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,8,2016-07-11,Monday
218871,A-218873,MapQuest,241.0,3,2016-07-11 08:27:06,2016-07-11 09:28:00,40.850066999999996,-73.944817,0.0,Right lane blocked due to accident on I-95 George Washington Brg Northbound after Henry Hudson Pkwy.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-07-11 08:46:00,69.8,,73.0,30.1,10.0,Variable,4.6,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,8,2016-07-11,Monday
218899,A-218901,MapQuest,241.0,2,2016-07-11 10:57:22,2016-07-11 11:42:53,40.770893,-73.94716600000001,0.0,Center lane blocked due to accident on FDR Dr Northbound at 91st St.,,FDR Dr,R,New York,New York,NY,10075,US,US/Eastern,KNYC,2016-07-11 10:51:00,73.0,,59.0,30.09,10.0,Variable,5.8,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,10,2016-07-11,Monday
218911,A-218913,MapQuest,241.0,3,2016-07-11 13:49:41,2016-07-11 14:46:00,40.849697,-73.942139,0.0,One lane blocked due to accident on I-95 George Washington Brg Southbound around Exit 1 Henry Hudson Pkwy.,,Trans-Manhattan Expy W,R,New York,New York,NY,10033,US,US/Eastern,KNYC,2016-07-11 13:51:00,80.1,,48.0,30.06,10.0,Variable,3.5,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,13,2016-07-11,Monday
218995,A-218997,MapQuest,201.0,2,2016-07-12 08:41:08,2016-07-12 09:11:08,40.758907,-73.99968,0.0,Accident on 11th Ave both ways at 39th St.,500.0,11th Ave,R,New York,New York,NY,10018-1013,US,US/Eastern,KNYC,2016-07-12 08:51:00,73.9,,68.0,30.15,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,7,8,2016-07-12,Tuesday
219060,A-219062,MapQuest,245.0,2,2016-07-12 15:43:23,2016-07-12 16:42:00,40.804165000000005,-73.931038,0.0,Two lanes blocked and queueing traffic due to accident on Harlem River Dr Southbound at Exit 19 2nd Ave.,,Harlem River Dr N,R,New York,New York,NY,10035,US,US/Eastern,KNYC,2016-07-12 15:51:00,81.0,,54.0,30.06,9.0,North,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,15,2016-07-12,Tuesday
219074,A-219076,MapQuest,241.0,2,2016-07-12 17:01:35,2016-07-12 18:00:00,40.815041,-73.934212,0.0,Right lane blocked due to accident on Harlem River Dr Southbound before Exit 22 139th St.,,Harlem River Dr N,R,New York,New York,NY,10037,US,US/Eastern,KNYC,2016-07-12 16:51:00,79.0,,60.0,30.06,9.0,SSE,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,17,2016-07-12,Tuesday
219094,A-219096,MapQuest,245.0,2,2016-07-13 00:09:54,2016-07-13 00:39:54,40.747715,-73.96833000000001,0.0,Two lanes blocked and queueing traffic due to accident on FDR Dr Northbound at Exits 8 9 42nd St.,,Queens Midtown Tunl E,R,New York,New York,NY,10017,US,US/Eastern,KNYC,2016-07-13 00:51:00,73.0,,73.0,30.07,10.0,SSW,4.6,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016,7,0,2016-07-13,Wednesday
219155,A-219157,MapQuest,406.0,2,2016-07-13 10:19:04,2016-07-13 10:49:04,40.759762,-73.960991,0.0,Entry ramp closed due to rolled over vehicle on NY-25 Queensboro Bridge Upper Level Westbound between NY-25 Queens Blvd and 60th St.,,Ed Koch Queensboro Brg W,R,New York,New York,NY,10022,US,US/Eastern,KNYC,2016-07-13 09:51:00,77.0,,74.0,30.07,9.0,Variable,3.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,10,2016-07-13,Wednesday
219234,A-219236,MapQuest,241.0,2,2016-07-14 06:30:23,2016-07-14 07:00:23,40.71051,-73.984741,0.0,Left lane blocked due to accident on FDR Dr Southbound at Exit 3 South St.,,FDR Dr N,R,New York,New York,NY,10002,US,US/Eastern,KJRB,2016-07-14 06:35:00,75.2,,94.0,29.94,10.0,SSE,3.5,,Overcast,True,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,7,6,2016-07-14,Thursday
219316,A-219318,MapQuest-Bing,241.0,2,2016-07-14 13:36:45,2016-07-14 14:34:00,40.71051,-73.984741,0.0,Right and center lane blocked and queueing traffic due to accident on FDR Dr Northbound after Exit 3 South St.,,FDR Dr N,R,New York,New York,NY,10002,US,US/Eastern,KJRB,2016-07-14 13:35:00,86.0,,66.0,29.88,10.0,WSW,4.6,,Scattered Clouds,True,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,7,13,2016-07-14,Thursday
219325,A-219327,MapQuest,241.0,2,2016-07-14 14:52:53,2016-07-14 15:52:00,40.80127,-73.929916,0.0,Right lane blocked and slow traffic due to accident on Harlem River Dr Southbound around Exit 17 Robert F Kennedy Bridge.,,Robert F Kennedy Bridge,R,New York,New York,NY,10035,US,US/Eastern,KNYC,2016-07-14 14:51:00,87.1,,65.0,29.82,6.0,Variable,3.5,,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,14,2016-07-14,Thursday
219333,A-219335,MapQuest-Bing,241.0,2,2016-07-14 15:37:03,2016-07-14 16:35:00,40.71051,-73.984741,0.0,Right lane blocked and slow traffic due to accident on FDR Dr Northbound after Exit 3 South St.,,FDR Dr N,R,New York,New York,NY,10002,US,US/Eastern,KJRB,2016-07-14 15:35:00,89.6,,62.0,29.8,10.0,South,8.1,,Thunderstorm,True,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,7,15,2016-07-14,Thursday
219347,A-219349,MapQuest,241.0,2,2016-07-14 17:01:59,2016-07-14 18:01:00,40.724167,-73.973511,0.0,One lane blocked and slow traffic due to accident on 10th St Southbound at FDR Dr.,499.0,E 10th St,L,New York,New York,NY,10009-5413,US,US/Eastern,KJRB,2016-07-14 16:55:00,78.8,,83.0,29.82,10.0,Calm,,0.34,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,17,2016-07-14,Thursday
219353,A-219355,MapQuest,241.0,2,2016-07-14 17:25:26,2016-07-14 18:25:00,40.820972,-73.95881700000001,0.0,Left lane blocked and slow traffic due to accident on NY-9A Henry Hudson Pkwy Southbound after NY-9A Henry Hudson Pkwy.,,Henry Hudson Pkwy N,R,New York,New York,NY,10027,US,US/Eastern,KNYC,2016-07-14 17:51:00,80.1,,85.0,29.79,8.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,17,2016-07-14,Thursday
219364,A-219366,MapQuest-Bing,241.0,2,2016-07-14 19:45:35,2016-07-14 20:45:00,40.748028000000005,-73.96817,0.0,One lane blocked and slow traffic due to accident on FDR Dr Southbound at Exits 8 9 42nd St.,,FDR Dr S,R,New York,New York,NY,10017,US,US/Eastern,KNYC,2016-07-14 19:51:00,80.1,,85.0,29.81,7.0,Calm,,,Clear,False,False,False,False,True,False,False,False,False,True,False,False,False,Day,Day,Day,Day,2016,7,19,2016-07-14,Thursday
219366,A-219368,MapQuest,222.0,2,2016-07-14 21:45:16,2016-07-14 23:00:16,40.786784999999995,-73.983215,0.0,Queueing traffic due to accident on NY-9A Henry Hudson Pkwy Northbound at NY-9A Henry Hudson Pkwy.,,Henry Hudson Pkwy N,R,New York,New York,NY,10024,US,US/Eastern,KNYC,2016-07-14 21:51:00,80.1,,81.0,29.83,7.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2016,7,21,2016-07-14,Thursday
219375,A-219377,MapQuest,241.0,3,2016-07-15 06:01:01,2016-07-15 06:31:01,40.850066999999996,-73.944817,0.0,Right lane blocked due to accident on I-95 George Washington Bridge Southbound near Exit 1 Henry Hudson Pkwy.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-07-15 05:51:00,79.0,,79.0,29.85,7.0,WSW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,6,2016-07-15,Friday
219418,A-219420,MapQuest,201.0,2,2016-07-15 10:30:53,2016-07-15 11:16:17,40.728439,-73.975685,0.0,Accident on Avenue C at 14th St.,700.0,E 14th St,R,New York,New York,NY,10009-2503,US,US/Eastern,KJRB,2016-07-15 10:35:00,87.8,,58.0,29.88,10.0,West,5.8,,Clear,False,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day,2016,7,10,2016-07-15,Friday
219425,A-219427,MapQuest,241.0,2,2016-07-15 11:10:10,2016-07-15 11:55:39,40.707687,-74.000076,0.0,Right lane blocked due to accident on FDR Dr Northbound after Manhattan Bridge.,,FDR Dr S,R,New York,New York,NY,10038,US,US/Eastern,KJRB,2016-07-15 11:15:00,87.8,,49.0,29.88,10.0,West,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,7,11,2016-07-15,Friday
219440,A-219442,MapQuest,201.0,3,2016-07-15 12:45:57,2016-07-15 13:30:57,40.84584,-73.931061,0.0,Lower level lane blocked due to accident on Washington Brg Eastbound at I-95 Alexander Hamilton Brg.,,I-95 N,R,New York,New York,NY,10033,US,US/Eastern,KNYC,2016-07-15 12:51:00,84.9,,61.0,29.87,8.0,Calm,,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,12,2016-07-15,Friday
219449,A-219451,MapQuest,241.0,2,2016-07-15 15:39:28,2016-07-15 16:38:00,40.770264000000005,-73.947754,0.0,Right lane blocked and slow traffic due to accident on FDR Dr Northbound at 79th St.,,FDR Dr,R,New York,New York,NY,10075,US,US/Eastern,KNYC,2016-07-15 15:51:00,87.1,,53.0,29.86,9.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,15,2016-07-15,Friday
219469,A-219471,MapQuest,245.0,2,2016-07-15 16:42:57,2016-07-15 17:42:00,40.834126,-73.949951,0.0,Two lanes blocked and queueing traffic due to accident on NY-9A Henry Hudson Pkwy Northbound at Exit 13 Henry Hudson Pkwy.,,Marginal St,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-07-15 16:51:00,86.0,,51.0,29.86,9.0,West,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,16,2016-07-15,Friday
219547,A-219549,MapQuest,201.0,2,2016-07-18 10:52:46,2016-07-18 11:22:46,40.803905,-73.952034,0.0,Accident on Adam Clayton Powell Jr Blvd both ways at 117th St.,,W 117th St,R,New York,New York,NY,10026,US,US/Eastern,KNYC,2016-07-18 10:51:00,86.0,,55.0,30.08,8.0,WSW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,7,10,2016-07-18,Monday
219570,A-219572,MapQuest,241.0,2,2016-07-18 15:19:43,2016-07-18 16:20:00,40.778793,-73.943352,0.0,Center lane blocked and slow traffic due to accident on FDR Dr Southbound after Exit 14 F D R Dr.,,FDR Dr S,R,New York,New York,NY,10128,US,US/Eastern,KNYC,2016-07-18 14:51:00,91.0,,44.0,30.0,8.0,WSW,11.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,15,2016-07-18,Monday
219573,A-219575,MapQuest,241.0,2,2016-07-18 16:42:57,2016-07-18 17:42:00,40.794182,-73.931267,0.0,Right lane blocked due to accident on FDR Dr Northbound around Exit 16 116th St.,,FDR Dr S,R,New York,New York,NY,10029,US,US/Eastern,KNYC,2016-07-18 16:51:00,82.0,,65.0,30.05,0.5,WNW,8.1,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,16,2016-07-18,Monday
219595,A-219597,MapQuest,245.0,2,2016-07-18 20:06:38,2016-07-18 21:04:00,40.751831,-73.96504200000001,0.0,Two lanes blocked and slow traffic due to accident on FDR Dr Southbound near Exit 10 49th St.,,FDR Dr S,R,New York,New York,NY,10017,US,US/Eastern,KNYC,2016-07-18 19:51:00,75.0,,82.0,30.0,9.0,West,4.6,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day,2016,7,20,2016-07-18,Monday
219597,A-219599,MapQuest,222.0,2,2016-07-18 23:17:25,2016-07-19 00:03:05,40.760864,-73.956459,0.0,Queueing traffic due to accident on FDR Dr Southbound at Exit 12 63rd St.,,FDR Dr S,R,New York,New York,NY,10065,US,US/Eastern,KNYC,2016-07-18 22:51:00,75.9,,85.0,30.02,9.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016,7,23,2016-07-18,Monday
219756,A-219758,MapQuest,241.0,2,2016-07-20 14:40:29,2016-07-20 15:40:00,40.782818,-73.943871,0.0,Left lane blocked due to accident on FDR Dr Southbound at Exit 14 F D R Dr.,,E 96th St,R,New York,New York,NY,10128,US,US/Eastern,KNYC,2016-07-20 14:51:00,82.9,,34.0,30.17,9.0,Calm,,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,7,14,2016-07-20,Wednesday
219803,A-219805,MapQuest,241.0,3,2016-07-21 06:55:36,2016-07-21 07:25:36,40.850066999999996,-73.944817,0.0,Upper Level Left lane blocked due to accident on I-95 George Washington Brg Northbound at Henry Hudson Pkwy Exit 14-15.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-07-21 06:51:00,72.0,,76.0,30.18,8.0,Variable,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,6,2016-07-21,Thursday
219971,A-219973,MapQuest,201.0,2,2016-07-22 12:16:04,2016-07-22 12:46:04,40.777821,-73.98981500000001,0.0,Accident on NY-9A Joe DiMaggio Hwy Northbound at Exit 8 Henry Hudson Pkwy.,,Henry Hudson Pkwy N,R,New York,New York,NY,10069,US,US/Eastern,KNYC,2016-07-22 11:51:00,89.1,,53.0,29.91,6.0,North,,,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,12,2016-07-22,Friday
219975,A-219977,MapQuest,241.0,2,2016-07-22 12:40:34,2016-07-22 13:25:34,40.779922,-73.943726,0.0,One lane blocked due to accident on FDR Dr Northbound at Exit 14 F D R Dr.,,FDR Dr N,R,New York,New York,NY,10128,US,US/Eastern,KNYC,2016-07-22 12:51:00,90.0,,52.0,29.89,7.0,Variable,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,12,2016-07-22,Friday
220022,A-220024,MapQuest,222.0,2,2016-07-22 23:10:00,2016-07-23 00:10:00,40.745625,-73.97223699999999,0.0,Queueing traffic due to accident on 37th St Eastbound at 1st Ave.,,Queens Midtown Tunl,R,New York,New York,NY,10016,US,US/Eastern,KNYC,2016-07-22 22:51:00,84.9,,61.0,29.81,8.0,Variable,4.6,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2016,7,23,2016-07-22,Friday
220080,A-220082,MapQuest,241.0,3,2016-07-24 13:34:47,2016-07-24 14:04:47,40.850066999999996,-73.944817,0.0,Lower level left lane blocked due to accident on I-95 George Washington Brg Northbound after Henry Hudson Pkwy.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-07-24 13:51:00,91.9,,34.0,29.96,9.0,WSW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,13,2016-07-24,Sunday
220106,A-220108,MapQuest,201.0,2,2016-07-25 02:25:29,2016-07-25 03:25:29,40.770264000000005,-73.947754,0.0,Two right lane blocked due to accident on FDR Dr Southbound at 79th St.,,FDR Dr,R,New York,New York,NY,10075,US,US/Eastern,KNYC,2016-07-25 02:51:00,81.0,,58.0,29.94,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016,7,2,2016-07-25,Monday
220144,A-220146,MapQuest,241.0,3,2016-07-25 09:06:03,2016-07-25 09:36:03,40.850066999999996,-73.944817,0.0,1 lane blocked due to accident on I-95 George Washington Bridge Upper Level Southbound near Harlem River Dr.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-07-25 08:51:00,81.0,,69.0,29.93,7.0,Calm,,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,9,2016-07-25,Monday
220200,A-220202,MapQuest-Bing,241.0,2,2016-07-25 17:23:41,2016-07-25 18:23:41,40.751831,-73.96504200000001,0.0,Right and center lane blocked due to accident on FDR Dr Northbound around Exit 10 49th St.,,FDR Dr S,R,New York,New York,NY,10017,US,US/Eastern,KNYC,2016-07-25 17:32:00,78.1,,90.0,29.92,1.5,Variable,3.5,0.0,Rain,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day,2016,7,17,2016-07-25,Monday
220239,A-220241,MapQuest,241.0,3,2016-07-26 07:04:22,2016-07-26 07:49:22,40.84584,-73.931061,0.0,Right lane blocked due to accident on I-95 George Washington Bridge (lower level) Northbound at Exit 2 Amsterdam Ave.,,I-95 N,R,New York,New York,NY,10033,US,US/Eastern,KNYC,2016-07-26 06:51:00,72.0,,87.0,29.91,9.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,7,2016-07-26,Tuesday
220250,A-220252,MapQuest,241.0,3,2016-07-26 07:42:58,2016-07-26 08:12:58,40.84584,-73.931061,0.0,Right lane blocked due to accident on I-95 George Washington Bridge Northbound at Harlem River Dr.,,I-95 N,R,New York,New York,NY,10033,US,US/Eastern,KNYC,2016-07-26 07:51:00,73.9,,82.0,29.92,8.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,7,2016-07-26,Tuesday
220422,A-220424,MapQuest,201.0,2,2016-07-27 10:11:34,2016-07-27 10:59:36,40.740437,-73.994591,0.0,Accident pedestrian involved on Avenue of the Americas both ways at 19th St.,77.0,W 19th St,R,New York,New York,NY,10011-4202,US,US/Eastern,KNYC,2016-07-27 09:51:00,82.0,,49.0,29.96,9.0,Variable,4.6,,Clear,True,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,7,10,2016-07-27,Wednesday
220491,A-220493,MapQuest,241.0,2,2016-07-27 20:34:21,2016-07-27 21:32:00,40.841846000000004,-73.93160999999999,0.0,Right lane blocked due to accident on Harlem River Dr Northbound after Exit 24.,,Harlem River Dr S,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-07-27 20:51:00,82.9,,54.0,29.9,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2016,7,20,2016-07-27,Wednesday
220500,A-220502,MapQuest-Bing,241.0,2,2016-07-28 06:53:14,2016-07-28 07:23:14,40.748028000000005,-73.96817,0.0,Left lane blocked due to accident on FDR Dr Southbound near Exits 8 9 42nd St.,,FDR Dr S,R,New York,New York,NY,10017,US,US/Eastern,KNYC,2016-07-28 06:51:00,78.1,,81.0,29.91,6.0,Calm,,,Haze,False,False,False,False,True,False,False,False,False,True,False,False,False,Day,Day,Day,Day,2016,7,6,2016-07-28,Thursday
220549,A-220551,MapQuest,241.0,2,2016-07-28 11:24:45,2016-07-28 11:54:45,40.817947,-73.961731,0.0,Left lane blocked due to accident on NY-9A Henry Hudson Pkwy Southbound after 129th St.,92.0,Saint Clair Pl,L,New York,New York,NY,10027-2332,US,US/Eastern,KNYC,2016-07-28 11:51:00,90.0,,38.0,29.9,8.0,Variable,3.5,,Clear,True,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,7,11,2016-07-28,Thursday
